competênciamov;região;uf;município;seção;subclasse;saldomovimentação;cbo2002ocupação;categoria;graudeinstrução;idade;horascontratuais;raçacor;sexo;tipoempregador;tipoestabelecimento;tipomovimentação;tipodedeficiência;indtrabintermitente;indtrabparcial;salário;tamestabjan;indicadoraprendiz;origemdainformação;competênciadec;indicadordeforadoprazo;unidadesaláriocódigo;valorsaláriofixo
202604;3;35;351905;A;111302;1;622020;105;4;24;44,00;3;1;0;1;97;0;0;0;1654,62;9;0;1;202604;0;5;1654,62
202604;3;35;355720;Q;8610101;1;422105;101;7;28;44,00;2;3;0;1;97;0;0;0;1665,10;10;0;1;202604;0;5;1665,10
202604;4;41;410690;G;4782201;1;414125;101;8;22;44,00;3;1;0;1;97;0;0;0;2058,00;4;0;1;202604;0;5;2058,00
202604;3;35;354850;F;4321500;1;950105;101;7;31;44,00;1;1;0;1;97;0;0;0;4560,98;7;0;1;202604;0;5;4560,98
202604;5;52;520110;G;4722901;1;519110;101;7;27;44,00;3;1;0;1;97;0;0;0;1630,00;1;0;1;202604;0;5;1630,00
202604;3;35;355030;J;6201501;1;391130;101;9;35;40,00;3;1;0;1;97;0;0;0;7500,00;6;0;1;202604;0;5;7500,00
202604;3;35;355030;N;7820500;1;516310;106;7;23;44,00;1;3;0;1;97;0;0;0;1846,82;10;0;1;202604;0;5;1846,82
202604;2;29;293070;C;2222600;1;411005;103;7;19;20,00;3;1;0;1;97;0;0;0;810,50;9;1;1;202604;0;5;810,50
202604;3;35;352050;G;4789002;1;318505;101;7;29;44,00;1;1;0;1;97;0;0;0;3000,00;3;0;1;202604;0;5;3000,00
